segdesc   = GBRW4R_F
2026-05-01
DATE,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
3/2029,49.779,61.262,56.420,61.379,54.621,48.189,43.884,36.153,26.562,36.255,52.897,47.264,38.957,66.838,27.321,47.442,38.616,32.294,67.738,38.624,38.323,75.622,52.590,126.364,51.989,46.064,44.197,36.243,48.851,42.559
4/2029,89.806,61.317,111.751,90.771,85.362,66.791,80.597,46.915,56.456,60.410,105.601,71.221,100.059,69.750,32.339,76.913,53.879,56.869,130.991,45.548,69.722,81.088,82.733,245.582,88.058,100.899,62.515,59.123,68.644,62.195
5/2029,193.366,62.177,154.427,340.573,169.579,179.371,172.873,103.897,54.862,72.006,100.925,137.186,243.861,172.996,107.356,136.979,30.218,144.646,178.157,71.230,191.483,188.502,127.322,367.408,288.068,87.062,124.927,81.736,152.839,200.453
6/2029,149.764,418.604,582.505,712.342,312.247,533.783,217.165,119.143,188.575,208.971,244.784,362.348,270.950,64.300,271.796,447.796,209.055,400.545,207.794,95.483,435.330,297.336,276.594,710.981,449.215,268.444,341.527,331.621,56.612,345.521
7/2029,28.736,408.862,282.254,311.748,350.956,321.502,65.300,31.300,73.291,72.446,166.234,254.017,73.978,11.785,190.596,343.730,168.436,599.540,72.313,37.090,277.781,132.419,90.045,355.858,187.589,211.682,167.462,161.333,28.033,222.848
8/2029,26.889,143.712,90.464,151.244,114.428,112.241,38.164,21.372,33.082,34.022,66.593,83.482,45.121,28.118,61.263,107.481,58.422,175.960,38.537,24.288,96.763,52.335,43.806,116.110,70.206,78.993,59.626,71.758,20.259,170.335
9/2029,25.906,62.371,54.823,95.904,56.512,78.384,42.921,20.387,34.569,34.401,53.845,47.123,37.585,27.015,46.203,52.229,38.458,77.926,30.648,30.850,67.930,40.734,39.304,80.334,45.225,55.308,39.411,57.952,24.472,67.377
10/2029,37.184,54.099,51.930,82.183,54.466,51.516,39.985,22.835,35.165,27.909,48.800,46.381,53.288,43.791,39.759,51.765,32.987,66.875,31.984,34.927,112.736,47.918,72.368,84.132,46.037,48.810,37.297,39.689,23.159,51.837
11/2029,33.864,48.164,50.107,56.841,44.189,45.421,35.620,31.961,30.323,29.224,48.085,41.528,40.350,36.166,41.330,47.890,33.966,55.854,38.348,30.001,59.240,38.243,72.417,66.898,44.315,40.741,40.427,40.199,25.177,43.688
12/2029,27.315,46.439,45.959,46.539,39.255,39.641,29.449,24.411,25.105,24.964,34.570,36.378,35.409,26.731,32.823,38.692,28.575,45.947,32.256,23.892,45.563,31.883,40.786,59.590,37.286,34.303,33.905,34.586,21.623,37.065
1/2030,23.797,36.753,45.380,40.176,33.443,34.837,25.687,20.272,21.928,22.265,29.167,35.642,32.257,22.291,30.068,33.263,25.940,41.288,27.337,21.158,41.382,28.287,32.960,50.796,32.672,29.771,29.083,29.828,19.467,32.355
2/2030,32.437,40.258,36.591,33.568,30.399,33.955,22.457,17.733,27.676,20.636,25.722,29.860,29.850,19.012,28.157,27.978,24.253,36.815,23.922,25.534,43.578,33.510,44.333,44.323,31.114,26.278,29.126,25.895,18.302,27.436
3/2030,61.211,56.617,61.355,53.111,48.290,44.150,36.252,26.623,36.316,52.853,47.276,38.682,66.856,27.529,47.662,38.243,32.361,67.838,38.580,38.876,75.643,52.543,126.791,51.726,46.052,44.681,36.370,48.392,42.701,49.811
4/2030,61.271,112.044,90.739,84.090,66.906,80.998,47.024,55.910,60.491,105.538,71.223,97.109,69.764,32.549,77.180,52.109,56.940,131.131,45.503,68.837,81.118,82.677,246.205,84.331,100.877,63.148,59.279,65.434,62.342,89.855
5/2030,62.111,154.675,340.500,162.293,179.530,173.235,104.024,50.479,72.114,100.908,137.246,234.853,173.004,107.737,137.413,27.255,144.788,178.287,71.157,174.630,188.582,127.266,368.149,275.840,87.038,125.673,81.970,151.075,200.793,193.472
6/2030,418.479,582.794,712.318,310.288,533.898,217.381,119.214,188.091,209.056,244.785,362.429,277.598,64.304,272.160,448.301,202.232,400.637,207.884,95.417,442.824,297.390,276.537,711.410,453.814,268.394,342.059,331.853,57.319,345.762,149.803
7/2030,408.815,282.358,311.740,354.608,321.549,65.439,31.353,78.955,72.474,166.212,254.024,78.081,11.795,190.748,343.871,177.434,599.543,72.352,37.059,286.570,132.428,90.021,355.950,196.289,211.662,167.735,161.405,31.328,222.926,28.749
8/2030,143.697,90.536,151.240,119.655,112.274,38.287,21.420,34.104,34.042,66.570,83.482,45.837,28.127,61.363,107.546,59.454,175.972,38.570,24.267,97.829,52.337,43.788,116.154,71.858,78.987,59.837,71.806,20.696,170.384,26.899
9/2030,62.362,54.884,95.901,57.275,78.413,43.031,20.429,34.676,34.420,53.825,47.122,37.296,27.023,46.292,52.280,39.269,77.937,30.676,30.832,66.876,40.735,39.289,80.368,45.647,55.304,39.595,57.993,24.504,67.416,25.915
10/2030,54.092,51.987,82.180,54.887,51.541,40.089,22.874,35.358,27.925,48.781,46.380,53.742,43.799,39.841,51.816,33.054,66.886,32.010,34.909,116.071,47.920,72.351,84.165,45.854,48.806,37.468,39.725,23.274,51.872,37.193
11/2030,48.158,50.160,56.840,44.498,45.443,35.711,31.997,30.636,29.238,48.067,41.526,40.660,36.172,41.404,47.934,34.007,55.864,38.372,29.987,60.432,38.244,72.403,66.924,44.698,40.738,40.580,40.230,25.223,43.719,33.871
12/2030,46.434,46.008,46.538,39.379,39.661,29.535,24.444,25.274,24.977,34.555,36.376,35.518,26.737,32.892,38.731,28.624,45.956,32.278,23.879,46.022,31.883,40.775,59.613,37.401,34.300,34.050,34.615,21.671,37.094,27.322
1/2031,36.749,45.425,40.175,33.544,34.855,25.766,20.302,22.040,22.277,29.153,35.640,32.548,22.296,30.132,33.299,25.920,41.296,27.357,21.147,41.651,28.287,32.950,50.816,32.742,29.769,29.214,29.855,19.534,32.381,23.803
2/2031,40.256,36.628,33.567,30.301,33.970,22.523,17.758,27.693,20.646,25.711,29.858,29.866,19.016,28.212,28.007,24.304,36.821,23.939,25.524,43.822,33.509,44.324,44.340,30.994,26.277,29.241,25.917,18.351,27.458,32.442
3/2031,56.615,61.405,53.109,47.773,44.166,36.330,26.648,36.198,52.862,47.263,38.681,65.418,27.533,47.730,38.275,32.248,67.847,38.599,38.866,73.932,52.540,126.774,51.744,45.506,44.680,36.490,48.420,41.032,49.837,61.215
4/2031,112.040,90.810,84.086,63.018,81.028,47.116,55.945,59.662,105.551,71.202,97.101,68.613,32.552,77.279,52.149,55.538,131.142,45.522,68.824,81.628,82.670,246.178,84.360,97.570,63.146,59.435,65.467,62.087,89.890,61.275
