segdesc   = TPIC2L_F
2026-05-01
DATE,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
4/2029,9.115,6.658,10.063,8.117,7.141,6.611,9.750,7.075,7.543,5.902,9.943,6.460,9.479,9.930,3.719,7.069,7.222,6.595,12.881,4.840,5.368,9.749,7.173,9.699,7.518,6.765,7.079,6.915,9.279,6.726
5/2029,30.902,30.276,56.391,38.697,24.007,23.220,34.018,25.849,17.796,21.491,27.597,24.510,32.494,29.761,24.710,38.141,17.435,21.220,24.541,16.419,28.177,20.325,17.388,31.630,30.952,21.028,26.528,21.601,27.068,32.946
6/2029,41.170,84.999,61.583,73.048,31.835,48.440,25.683,26.004,12.728,33.641,22.021,35.492,35.984,27.882,75.199,41.593,41.742,66.758,11.651,29.608,50.448,51.587,42.205,53.324,18.143,58.028,33.338,42.878,26.548,63.818
7/2029,15.215,72.788,23.649,27.605,15.867,29.381,10.806,10.193,6.161,12.048,9.124,15.105,12.674,11.725,37.013,21.872,13.898,40.853,7.265,12.148,18.079,17.916,15.250,20.406,8.162,37.207,12.256,17.140,13.028,31.150
8/2029,7.742,23.298,10.799,13.491,8.209,12.332,7.087,7.020,4.288,6.649,5.973,8.866,8.039,7.406,13.137,9.645,8.992,14.524,5.429,7.580,9.605,8.498,8.328,12.001,5.639,13.304,7.412,8.229,8.641,12.235
9/2029,6.259,13.462,8.171,9.139,5.862,7.750,5.475,5.243,3.662,7.298,4.871,5.915,6.662,6.391,8.345,6.780,5.964,8.393,4.767,6.536,9.159,6.476,6.084,7.502,4.707,7.962,7.339,5.937,6.558,8.853
10/2029,7.241,11.056,7.930,8.515,6.650,6.668,5.015,4.571,4.491,5.437,5.014,6.620,8.532,6.256,7.938,7.322,5.511,7.801,4.336,6.922,10.703,5.544,5.296,7.818,4.720,6.759,6.736,5.282,5.022,8.307
11/2029,5.773,8.265,7.513,7.030,5.189,5.667,4.223,4.677,3.156,4.242,4.307,5.772,6.051,5.102,6.669,6.231,5.554,6.461,3.693,4.726,6.793,4.768,4.493,6.480,4.340,5.900,6.740,4.620,4.212,6.785
12/2029,4.995,7.617,6.586,6.280,5.005,5.131,3.925,3.930,2.800,3.867,3.708,4.603,4.858,4.112,5.919,5.158,4.627,5.787,3.363,4.051,5.340,4.511,4.137,6.006,3.705,5.547,5.282,4.379,3.896,5.842
1/2030,4.460,6.575,5.608,5.661,4.232,4.721,3.606,3.488,2.571,3.465,3.350,4.021,4.245,3.564,5.312,4.614,4.076,5.313,3.064,3.685,4.754,4.137,3.713,5.077,3.360,5.044,4.342,3.998,3.580,5.275
2/2030,3.813,5.354,4.567,4.648,3.527,3.938,3.012,2.862,2.281,2.859,2.767,3.281,3.540,2.894,4.394,3.789,3.337,4.357,2.594,3.035,4.504,3.598,3.096,4.254,2.803,4.147,3.575,3.414,3.003,4.382
3/2030,5.202,5.724,5.759,5.286,4.711,4.358,3.478,3.022,2.912,4.925,2.977,3.494,6.179,2.925,5.362,3.828,3.680,5.605,2.794,3.031,5.853,4.360,4.991,4.489,2.842,4.574,3.764,4.001,3.565,5.257
4/2030,6.662,10.142,8.130,7.081,6.695,9.857,7.106,7.430,5.921,9.961,6.449,9.260,9.946,3.740,7.089,7.091,6.730,12.913,4.863,5.400,9.735,7.183,9.789,7.302,6.796,7.150,6.924,8.975,6.766,9.139
