segdesc   = MPSC2L_F
2026-05-01
DATE,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
3/2029,44.255,50.606,44.819,48.774,46.508,40.904,34.090,32.262,23.631,30.811,49.051,27.814,31.185,59.089,19.401,46.243,26.233,33.422,42.101,22.492,28.830,55.790,40.990,63.805,32.263,22.882,38.216,31.005,35.945,36.114
4/2029,81.170,66.092,104.909,90.598,71.081,62.205,94.660,68.729,60.175,57.069,106.201,69.653,100.512,107.060,54.941,69.813,62.223,72.125,92.338,42.714,71.469,84.995,68.750,120.797,54.652,87.326,56.666,56.167,82.318,77.103
5/2029,231.404,270.515,381.391,350.437,218.898,239.014,262.350,266.416,100.734,177.514,239.191,277.525,253.413,245.725,268.528,320.610,138.378,174.033,154.654,109.977,260.356,177.514,178.704,264.731,172.999,208.239,195.772,146.028,223.807,302.978
6/2029,220.264,606.998,321.094,511.172,219.578,348.525,160.338,200.416,58.125,211.600,146.225,297.895,189.393,177.641,503.354,272.255,275.682,448.636,58.296,157.815,339.381,367.278,304.582,407.271,76.650,432.538,199.534,282.770,167.000,423.040
7/2029,66.644,438.523,113.028,176.972,103.036,220.024,53.193,61.601,25.677,58.111,55.981,117.207,72.803,66.870,216.416,137.955,72.766,226.499,29.971,57.978,102.178,119.713,96.547,135.293,33.800,259.689,62.180,121.840,67.044,182.914
8/2029,44.453,126.980,56.138,86.103,52.987,91.292,47.029,54.683,22.618,43.413,39.177,60.749,51.828,49.383,81.149,57.040,52.117,72.013,30.458,41.697,58.751,55.514,55.614,66.546,28.272,84.472,41.526,57.436,56.314,70.826
9/2029,36.205,66.789,41.238,59.324,34.693,49.803,34.989,32.434,22.134,58.216,35.872,39.144,38.842,43.340,46.535,38.300,30.460,41.737,24.830,55.272,54.388,40.125,36.727,40.846,23.164,45.125,38.354,35.536,39.646,50.454
10/2029,43.399,60.448,50.360,62.035,45.691,39.952,31.700,30.771,30.570,34.838,33.545,52.656,64.555,44.299,42.552,40.200,31.848,41.264,23.837,51.152,60.806,34.913,32.198,42.068,25.919,39.223,37.655,30.321,29.702,46.386
11/2029,33.497,46.097,42.487,46.930,37.919,32.074,28.059,30.095,20.006,26.027,31.192,40.351,44.980,35.763,36.469,36.123,31.724,33.810,19.921,33.397,38.238,31.390,27.669,35.774,23.907,33.781,39.468,28.698,25.307,37.397
12/2029,27.467,42.181,35.296,36.928,34.264,28.470,24.495,24.485,17.396,23.596,25.041,29.983,31.308,25.836,32.306,29.459,26.857,29.638,18.128,25.154,31.187,27.838,25.456,33.073,19.578,31.082,31.270,26.038,22.703,31.872
